window_start,window_end,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,unique_destinations,unique_destination_ports,unique_source_ports,protocol_count,flow_duration,packets_per_second,syn_count,syn_ratio,rst_count,rst_ratio,ssh_packet_count,ssh_ratio,avg_interarrival_time,std_interarrival_time,max_packets_per_second,source_file,attack_type
2026-06-22T23:48:30+00:00,2026-06-22T23:48:39.464987993+00:00,172.16.46.2,172.16.46.135,53,33908,UDP,52,163.55769230769232,62.8084430451152,67,318,8505,1,52,1,1,7.207113,7.215094310301504,0,0.0,0,0.0,0,0.0,0.14131594172549022,0.3459777437820753,30,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.138704062+00:00,172.64.154.50,172.16.46.135,443,58888,TCP,20,3228.45,7496.054185203038,60,28302,64569,1,1,1,1,0.801815,20.0,1,0.05,0,0.0,0,0.0,0.04220084142105263,0.15541053301882604,13,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:37.844100952+00:00,192.178.192.94,172.16.46.135,443,45482,TCP,2,76.5,16.5,60,93,153,1,1,1,1,0.006788,2.0,0,0.0,0,0.0,0,0.0,0.006788015,0.0,2,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.668917894+00:00,23.222.17.229,172.16.46.135,443,47662,TCP,36,685.8333333333334,949.5140131199281,60,4150,24690,1,3,1,1,0.078328,36.0,3,0.08333333333333333,0,0.0,0,0.0,0.002237967085714285,0.0033480129757212057,36,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.475692987+00:00,3.214.154.211,172.16.46.135,443,52622,TCP,25,625.72,1090.4402604452937,60,3768,15643,1,2,1,1,0.114006,25.0,2,0.08,0,0.0,0,0.0,0.004750251749999999,0.010335665415438133,25,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.627770901+00:00,31.13.80.36,172.16.46.135,443,37390,TCP,10,543.5,1255.6910647129732,60,4293,5435,1,1,1,1,0.036,10.0,1,0.1,0,0.0,0,0.0,0.004000107444444445,0.00401903694446955,10,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.209184885+00:00,34.120.208.123,172.16.46.135,443,48044,TCP,4,60.0,0.0,60,60,240,1,1,1,1,0.007489,4.0,0,0.0,0,0.0,0,0.0,0.00249664,0.0026730689316679934,4,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:39.459538937+00:00,34.120.250.63,172.16.46.135,443,37150,TCP,30,331.0,869.2414700952396,60,4567,9930,1,1,1,1,1.1694499999999999,25.653084783445212,1,0.03333333333333333,0,0.0,0,0.0,0.040325863620689656,0.16075641925026962,16,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.849932909+00:00,34.199.118.202,172.16.46.135,443,42122,TCP,15,561.9333333333333,1167.1760487985046,60,4733,8429,1,1,1,1,0.698912,15.0,1,0.06666666666666667,0,0.0,0,0.0,0.04992234707142858,0.1084202423583432,15,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:39.608899117+00:00,64.233.178.101,172.16.46.135,443,47040,TCP,27,518.5925925925926,1107.3936453994381,60,4993,14002,1,3,1,1,5.317089,5.077966533943667,2,0.07407407407407407,0,0.0,0,0.0,0.20450342619230769,0.9940897969252089,25,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:33.290652990+00:00,64.233.178.141,172.16.46.135,443,41624,TCP,2,76.5,16.5,60,93,153,1,1,1,1,0.01171,2.0,0,0.0,0,0.0,0,0.0,0.011710882,0.0,2,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.473450899+00:00,64.233.178.84,172.16.46.135,443,45646,TCP,49,3085.081632653061,5154.7139346852355,60,22390,151169,1,3,1,1,5.194271,9.433470067310697,2,0.04081632653061224,0,0.0,0,0.0,0.10821399589583332,0.681197400886624,47,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.471642971+00:00,64.233.178.94,172.16.46.135,443,58542,TCP,21,494.7142857142857,1142.2861430714552,60,3973,10389,1,3,1,1,5.192699,4.044139666096571,2,0.09523809523809523,0,0.0,0,0.0,0.25963499545,1.1096097256735942,19,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:34.306889057+00:00,64.233.178.95,172.16.46.135,443,55666,TCP,4,76.5,16.5,60,93,306,1,2,1,1,0.015079,4.0,0,0.0,0,0.0,0,0.0,0.005026340333333333,0.007108318668502903,4,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.117337942+00:00,74.125.250.129,172.16.46.135,19302,40461,UDP,2,74.0,0.0,74,74,148,1,2,1,1,0.09018,2.0,0,0.0,0,0.0,0,0.0,0.090180874,0.0,2,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:41.700728893+00:00,142.250.69.106,172.16.46.135,443,55268,TCP,14,1599.357142857143,3046.5011220635865,60,11262,22391,1,1,1,1,0.207902,14.0,1,0.07142857142857142,0,0.0,0,0.0,0.015992531384615385,0.0341409150398163,14,normal_01.pcap,normal
